aes tiete,"['https://ri.aesbrasil.com.br/Download.aspx?Arquivo=X8hpMV0gHq0gkK4ISWMcYA==', 'https://ri.aestiete.com.br/Download.aspx?Arquivo=blPshLVXgEmigKPqJvteZw==', 'https://s3.amazonaws.com/homologadalov.cdn.aestiete.com/wp-content/uploads/2021/01/15142613/Relat%C3%B3rio-de-Sustentabilidade_2019.pdf', 'http://patrocinadores.marketingcultural.com.br/wp-content/uploads/sites/2/2020/07/RelatorioSustentabilidade2019-AES-Social.pdf', 'https://bdm.unb.br/bitstream/10483/25901/1/2019_PedroMichelFerreiraSinimbu_tcc.pdf', 'https://www.eneldistribuicaosp.com.br/Documents/Relat%202016_port.pdf', 'http://www.kmzconteudo.com.br/wp-content/uploads/conteudo/AES_Tiete_RA18_horizontal_PORT.pdf', 'http://engemausp.submissao.com.br/21/arquivos/46.pdf', 'https://anaiscbc.emnuvens.com.br/anais/article/download/4434/4435', 'http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2020/Mar%C3%A7o/04/empresarial2/pdf/pg_0002.pdf', 'https://acionista.com.br/wp-content/uploads/2020/04/aes-tiete-proposta-hostil-eneva.pdf']"
brf,"['https://www.brf-global.com/wp-content/uploads/2019/05/Relat%C3%B3rio-Anual-e-de-Sustentabilidade-BRF-2018.pdf', 'https://www.brf-global.com/wp-content/uploads/2020/05/BRF_RI_2019_PORT.pdf', 'http://ri-omega2020.mz-sites.com/wp-content/uploads/sites/458/2020/10/omega-relatorio-sustentabilidade-2019.pdf', 'https://www.institutobrf.com/assets/site/media/relatorios-anuais/2019.pdf', 'https://f.hubspotusercontent20.net/hubfs/7851874/comerc-RS2019-pt.pdf', 'http://www.b3.com.br/data/files/7A/51/9D/67/02121510FE0C840592D828A8/Relate-ou-Explique-Divulgacao-2015.pdf', 'https://www.marfrig.com.br/static/pdf/relatorio-anual/Marfrig_RA19.pdf', 'https://financenews.com.br/wp-content/uploads/2020/08/BRF.pdf', 'https://api.mziq.com/mzfilemanager/v2/d/4d44a134-36cc-4fea-b520-393c4aceabb2/d3594fe5-4e13-5b33-47e6-a12faa220016?origin=1', 'http://www.dsaldo.com.br/EMPRESAS/Carnes/BRF/DFP2019.pdf', 'https://economia.estadao.com.br/fatos-relevantes/getFato/27694172']"
duratex,"['https://www.duratex.com.br/Relatorio-Anual-2019/pt/Duratex_RA_2019_pt.pdf', 'https://www.duratex.com.br/ri/pt/download/Duratex_RA_15.pdf', 'https://www.duratex.com.br/Arquivos/Download/Relatorio-de-Resultados-GFD-2019.pdf', 'https://www.duratex.com.br/Arquivos/Download/Duratex_RA_11.pdf', 'https://www.duratex.com.br/Arquivos/Download/Duratex_RA_12.pdf', 'https://www.duratex.com.br/Arquivos/Download/Duratex_Sumario_Executivo_15.pdf', 'https://www.duratex.com.br/ri/documentos/4610-Duratex-divulga-ao-mercado-Relatorio-Anual-2018-280219.pdf', 'http://www.duratex.com.br/Relatorio-Anual-2016/relatorio-anual.html', 'https://www.duratex.com.br/Relatorio-Anual-2019/en/documents/Book_Duratex_RI_ing.pdf', 'http://www.duratex.com.br/Relatorio-Anual-2018/pt/Duratex_RA_2018_pt.pdf', 'https://www.duratex.com.br/ri/pt/download/Duratex_RA_14.pdf']"
fleury,"['https://ri.fleury.com.br/fleury/web/download_arquivos.asp?id_arquivo=C8E9DA63-8F88-4E99-BDA8-AC97973D9B90', 'https://ri.fleury.com.br/fleury/web/download_arquivos.asp?id_arquivo=C493CD0D-96D6-4F8F-94C2-14B65648FDEF', 'http://www.grupofleury.com.br/SiteAssets/SitePages/downloads/fleury-relatorio-sustentabilidade.pdf', 'http://www.mzweb.com.br/fleury/web/download_arquivos.asp?id_arquivo=2FCA8AC0-7AA7-4B8A-AFB6-4A1798547C8D', 'http://www.mzweb.com.br/fleury/web/download_arquivos.asp?id_arquivo=1D37B448-4C41-47FC-AB99-DCC219054327', 'https://www.planner.com.br/wp-content/uploads/2019/04/Relat%C3%B3rio-de-In%C3%ADcio-de-Cobertura_Fleury_24_04_2019-1.pdf', 'http://www.ultra.com.br/Ultra/relatorio/2019/Relatorio_Integrado_2019.pdf', 'http://www.b3.com.br/data/files/7A/51/9D/67/02121510FE0C840592D828A8/Relate-ou-Explique-Divulgacao-2015.pdf', 'http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2020/Fevereiro/20/empresarial/pdf/pg_0074.pdf', 'http://siteempresas.bovespa.com.br/DWL/FormDetalheDownload.asp?site=C&prot=739489', 'http://www.dsaldo.com.br/EMPRESAS/Servicomedico/Fleury/DFP2017.pdf']"
lojas americanas,"['https://hotsites.lasa.com.br/relatorioanual2019/', 'https://hotsites.lasa.com.br/relatorioanual2017/', 'https://hotsites.b2wdigital.com/relatorioanual2018.pdf', 'https://hotsites.b2wdigital.com/relatorioanual2019', 'https://www.basf.com/ar/documents/FEE_RA_2019.pdf', 'http://ri-omega2020.mz-sites.com/wp-content/uploads/sites/458/2020/10/omega-relatorio-sustentabilidade-2019.pdf', 'http://www.b3.com.br/data/files/7A/51/9D/67/02121510FE0C840592D828A8/Relate-ou-Explique-Divulgacao-2015.pdf', 'https://economia.estadao.com.br/fatos-relevantes/pdf/27249927.pdf', 'http://static.grendene.aatb.com.br/IFRS_DFP/1602_DFP_2019.pdf', 'http://siteempresas.bovespa.com.br/DWL/FormDetalheDownload.asp?site=C&prot=740108', 'https://brasil.arcelormittal.com.br/sala-imprensa/publicacoes-relatorios/brasil/relatorio-de-sustentabilidade-2019']"
petrobras distribuidora,"['https://www.br.com.br/wcm/connect/3ab72adc-b6f0-45f4-a0ae-81b48a53e55d/br-relatorio-sustentabilidade-2019-BR-Distribuidora.pdf?MOD=AJPERES&CVID=nlbFgvM&CVID=nidQGZV', 'https://petrobras.com.br/lumis/portal/file/fileDownload.jsp?fileId=8A19357668CECA4D0169CAA328CA539B', 'http://transparencia.petrobras.com.br/sites/default/files/Relatorio-de-Gestao%202019.pdf', 'https://epbr.com.br/wp-content/uploads/2020/06/relatorio-de-sustentabilidade-2019-final-1.pdf', 'https://www.liquigas.com.br/wps/wcm/connect/ab903c93-2dda-45ab-96af-20305534a4e3/Relatorio+de+Sustentabilidade+Liquigas+2019.pdf?MOD=AJPERES&CVID=noK4kqw&CVID=noK4kqw', 'http://siteempresas.bovespa.com.br/DWL/FormDetalheDownload.asp?site=C&prot=784842', 'https://s3.amazonaws.com/mz-filemanager/d243bdaa-0468-4f64-8c09-ba0bcee9789b/82747f20-670e-4187-b02d-ba9c6096e478_BRD_FRE%202019_v9.pdf', 'https://s3.amazonaws.com/mz-filemanager/d243bdaa-0468-4f64-8c09-ba0bcee9789b/ef59bc59-4d2a-43e0-86c4-7a368d8a8ab5_Demonstra%C3%A7%C3%B5es%20Cont%C3%A1beis%202019.pdf', 'http://www.ultra.com.br/Ultra/relatorio/2019/Relatorio_Integrado_2019.pdf', 'https://core.ac.uk/download/pdf/327050794.pdf', 'https://eaud.cgu.gov.br/relatorios/download/879033']"
b2w,"['https://hotsites.b2wdigital.com/relatorioanual2019/', 'https://hotsites.b2wdigital.com/relatorioanual2018.pdf', 'https://hotsites.lasa.com.br/relatorioanual2019/', 'https://static.lasa.com.br/upload/relatoriosanuaistrimestrais/00008120.pdf', 'http://www.b3.com.br/data/files/7A/51/9D/67/02121510FE0C840592D828A8/Relate-ou-Explique-Divulgacao-2015.pdf', 'https://economia.estadao.com.br/fatos-relevantes/getFato/19221055', 'https://financenews.com.br/wp-content/uploads/2020/05/B2W.pdf', 'https://financenews.com.br/wp-content/uploads/2019/03/21B2W.pdf', 'https://www.insper.edu.br/wp-content/uploads/2020/04/Relat%C3%B3rio-Anual-2019_digital_port.pdf', 'https://www.jsl.com.br/wp-content/uploads/2020/05/JSL_202005191728_vf.pdf', 'https://repositorio.ufsc.br/bitstream/handle/123456789/197673/TCC%20J%C3%BAlia%20Silva%20da%20Rosa.pdf?sequence=1&isAllowed=y']"
ccr,"['http://www.grupoccr.com.br/ri2019/pdf/CCR_RAS_2019.pdf', 'http://www.grupoccr.com.br/ri2019/pdf/CCR_RAS_2019_VersaoExecutiva.pdf', 'http://ri.ccr.com.br/wp-content/uploads/sites/28/2019/03/CCR_CadernoGRI_2018_portugu%C3%AAs.pdf', 'http://ri.ccr.com.br/wp-content/uploads/sites/28/2019/03/CCR_RA_21032019_port.pdf', 'https://stgprdvortxsp01.blob.core.windows.net/vxinforma/DF%202019%20-%20CCR%20SA_202004160203540124.pdf', 'http://ri-omega2020.mz-sites.com/wp-content/uploads/sites/458/2020/10/omega-relatorio-sustentabilidade-2019.pdf', 'http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2020/Mar%C3%A7o/06/empresarial/pdf/pg_0023.pdf', 'https://ri.tim.com.br/Download/TIM-Relatorio-Sustentabilidade-2019?=WHdmtdXByh0vWu/8c+bJJQ==&idcanal=7K4uEYSdi63ueCEiCvWi0A==', 'https://ri.tim.com.br/Download.aspx?Arquivo=qIqGs53UjwFiXVLyLpFg+w==', 'http://www.b3.com.br/data/files/7A/51/9D/67/02121510FE0C840592D828A8/Relate-ou-Explique-Divulgacao-2015.pdf', 'https://congressousp.fipecafi.org/anais/19UspInternational/ArtigosDownload/1742.pdf']"
ecorodovias,"['https://www.ecorodovias.com.br/assets/ecorodovias-portal/media/sustainability-report/attachments/source/20200826094942063-Relat%C3%B3rio%20de%20Sustentabilidade%20EcoRodovias%202019.pdf', 'https://wappstorge.blob.core.windows.net/assets/ecorodovias-portal/media/sustainability-report/attachments/source/20190430142145482-Ecorodovias_RS2018_30042019_Simple.pdf', 'https://ecostorageapp002.blob.core.windows.net/content/Ecorodovias/PDF/2016.pdf', 'http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2020/Fevereiro/19/empresarial/pdf/pg_0005.pdf', 'http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2020/Fevereiro/19/empresarial/pdf/pg_0006.pdf', 'https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=702585&descTipo=IPE&CodigoInstituicao=1', 'http://siteempresas.bovespa.com.br/DWL/FormDetalheDownload.asp?site=C&prot=738893', 'http://www.crasainfra.com/pdfs/sustentabilidade2019.pdf', 'https://www.relatoweb.com.br/ecorodovias/12/arquivos/EcoRodovias_DFs2012_PT.pdf', 'https://economia.estadao.com.br/fatos-relevantes/getFato/15168190', 'https://silo.tips/download/com-alta-eficiencia-e-geraao-todas-as-emissoes-diretas-e-indi-das-concessionaria']"
itaú unibanco,"['https://www.itau.com.br/relacoes-com-investidores/Download.aspx?Arquivo=zczRMM4ImUdgURCZaRz1Jw==', 'https://www.itau.com.br/relacoes-com-investidores/Download.aspx?Arquivo=Yj6Z+yt5cKSIrDWQCVENdg==', 'https://www.itau.com.br/relacoes-com-investidores/Download.aspx?Arquivo=iyds6Bgw5JKeDHAuYa64Kg==&IdCanal=M5Z9mVXb8ctdHzvh47FYhg==', 'https://www.itau.com.br/relacoes-com-investidores/Download.aspx?Arquivo=VTTEcjI17BGlygfr/2vAbQ==', 'https://s3.sa-east-1.amazonaws.com/static.itausa.aatb.com.br/Documentos/8214_Itausa_Relato_Integrado_2019.pdf', 'https://s3.amazonaws.com/mz-filemanager/b77a3922-d280-4451-b3ee-0afec4577834/1af5a28c-f3a7-4c18-89c5-0800be874132_relatorio_portoseguro_sustentabilidade_2019.pdf', 'https://www.institutounibanco.org.br/relatorio-2018/assets/ra-iu-2018-web.pdf', 'https://acionista.com.br/wp-content/uploads/2020/06/itau-relatorio-anual-integrado.pdf', 'https://www.teses.usp.br/teses/disponiveis/12/12136/tde-05022016-114515/publico/CorrigidaCristianeTiemi.pdf', 'https://financenews.com.br/wp-content/uploads/2019/03/671433.-1.pdf', 'http://www.repositorio.ufal.br/bitstream/riufal/5623/1/Relato%20Integrado%3A%20capitais%20utilizados%20pelos%20bancos%20brasileiros.pdf']"
lojas renner,"['https://www.lojasrenner.com.br/blog/assets/Instituto_Lojas_Renner_2019_web.pdf', 'https://www.lojasrennersa.com.br/conteudo/relatorio-anual-lojas-renner-2018', 'https://www.lojasrennersa.com.br/conteudo/relatorio_anual_2019.pdf', 'https://api.mziq.com/mzfilemanager/d/13154776-9416-4fce-8c46-3e54d45b03a3/bafffdbb-21dc-4a5a-9454-dd477720ebc1?origin=1', 'https://www.institutolojasrenner.org.br/Satellite?blobtable=MungoBlobs&SSURIapptype=BlobServer&SSURIcontainer=Default&blobwhere=1511898349422&ssbinary=true&SSURIsession=false&blobkey=id&blobcol=urldata&blobnocache=false&SSURIsscontext=Satellite+Server', 'http://siteempresas.bovespa.com.br/DWL/FormDetalheDownload.asp?site=C&prot=663999', 'https://mz-filemanager.s3.amazonaws.com/13154776-9416-4fce-8c46-3e54d45b03a3/file_manager/221fa669-d723-43ae-8e6c-f61733871e6c/resumo_do_relato_integrado_2018.pdf', 'http://www.b3.com.br/data/files/7A/51/9D/67/02121510FE0C840592D828A8/Relate-ou-Explique-Divulgacao-2015.pdf', 'https://esags.edu.br/wp-content/uploads/2019/06/revista-estudos-nego%CC%81cios-carreiras-do-seculo-xxi.pdf', 'https://engemausp.submissao.com.br/22/arquivos/306.pdf', 'https://economia.estadao.com.br/fatos-relevantes/getFato/27832568']"
santander,"['https://cms.santander.com.br/sites/WPS/documentos/arq-caderno-indicadores-2019/20-03-25_214457_cadernoindicadoressantander.pdf', 'https://guiadosbancosresponsaveis.org.br/media/494740/relatorio-gbr-2018-atualizado.pdf', 'https://www.cemig.com.br/wp-content/uploads/2020/07/ras-2019.pdf', 'http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2020/Fevereiro/01/empresarial/pdf/pg_0007.pdf', 'http://siteempresas.bovespa.com.br/DWL/FormDetalheDownload.asp?site=C&prot=610730', 'https://contrafcut.com.br/wp-content/uploads/2020/07/df-brgaap-1t20.pdf', 'https://www.bp.org.br/2018/balancos_sociais/relatorio_de_sustentabilidade_2018_bp.pdf', 'https://en.amecbrasil.org.br/wp-content/uploads/2016/11/relatorio-stewardship-santander-2018.pdf', 'https://www2.santandercorretora.com.br/Cache/14451102019CarteiraIbovespa.pdf', 'https://www.bradescori.com.br/wp-content/uploads/sites/541/2021/01/717_1_RELATORIO_2019_PORTUGUES.pdf', 'https://www.itau.com.br/relacoes-com-investidores/Download.aspx?Arquivo=Yj6Z+yt5cKSIrDWQCVENdg==']"
banco do brasil,"['https://www.bb.com.br/docs/portal/japao/BBRelatAnual2019.pdf', 'https://www.bb.com.br/docs/portal/bbprevidencia/Relatorio-Anual-2019.pdf', 'https://www.bb.com.br/docs/portal/dtvm/stewardship2020.pdf', 'https://www.bb.com.br/docs/pub/inst/dwn/PrevidRelatAnual2017.pdf', 'https://s3.amazonaws.com/mz-filemanager/5760dff3-15e1-4962-9e81-322a0b3d0bbd/4ae84766-e2fd-4317-80ed-0eb399a80b02_BB%20Relato%CC%81rio%20Anual%202018.pdf', 'https://www.caixa.gov.br/Downloads/caixa-relatorio-sustentabilidade/Relatorio_Sustentabilidade_Caixa_2018.pdf', 'https://cms.santander.com.br/sites/WPS/documentos/arq-caderno-indicadores-2019/20-03-25_214457_cadernoindicadoressantander.pdf', 'https://www.bnb.gov.br/documents/320335/3959651/RELAT%C3%93RIO+DE+SUSTENTABILIDADE+2019+Diagramado.pdf/aa76ad80-5b29-b181-7bab-b9305b5d90e9', 'https://ri.cielo.com.br/wp-content/uploads/sites/71/2020/05/08052020_CIELO_RS2019.pdf', 'https://www.brasilcap.com/brasilcap/downloads/RelatorioAnual2019.pdf', 'http://ri.btgpactual.com/download_arquivos.asp?id_arquivo=77C4BB57-6BDE-4FC5-A2EC-3C489AF57DF3']"
cemig,"['https://www.cemig.com.br/wp-content/uploads/2020/07/ras-2019.pdf', 'https://www.cemig.com.br/wp-content/uploads/2020/07/cemig-gt-relatorio-anual-de-responsabilidade-socioambiental-das-empresas-de-energia-eletrica-2019.pdf', 'https://novoportal.cemig.com.br/wp-content/uploads/2020/07/ras-2017.pdf', 'https://novoportal.cemig.com.br/wp-content/uploads/2020/07/cemig-d-relatorio-anual-de-responsabilidade-socioambiental-das-empresas-de-energia-eletrica-2019.pdf', 'http://relatorio2016.cemig.com.br/impressao_pt.pdf', 'https://www.cemig.com.br/wp-content/uploads/2020/08/ras-2014.pdf', 'https://www.cemig.com.br/wp-content/uploads/2020/07/carta-anual-cemig-2019.pdf', 'https://api.mziq.com/mzfilemanager/v2/d/50b51302-4c48-4351-b296-bfcbe65fd70a/7b6b2b1d-0668-755c-c1f0-ebcfe5a3971c?origin=2', 'https://celeoredesbrasil.com.br/wp-content/uploads/2019/05/__2019_06_17_Celeo_RAs2018_portugues%20(1).pdf', 'http://ri.light.com.br/wp-content/uploads/sites/245/2020/04/RA-Light-2019.pdf', 'http://www.aneel.gov.br/documents/656815/14887148/Relat%C3%B3rio+Base+2019+1T+2019+06+04.pdf/342e31ce-73e5-8acb-c926-e83684e2ab0a']"
edp,"['https://web3.cmvm.pt/sdi/emitentes/docs/CONV74817.pdf', 'https://brasil.edp.com/sites/edpbr/files/2020-04/EDP_RA2019.2.pdf', 'https://www.edp.com/sites/default/files/relatorio_de_sustentabilidade_2018_pt_0.pdf', 'http://siteempresas.bovespa.com.br/DWL/FormDetalheDownload.asp?site=C&prot=739051', 'http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2020/Fevereiro/28/empresarial/pdf/pg_0073.pdf', 'http://www.aneel.gov.br/documents/656815/14887148/Relat%C3%B3rio+Base+2019+1T+2019+06+04.pdf/342e31ce-73e5-8acb-c926-e83684e2ab0a', 'https://www.enel.com.br/content/dam/enel-br/quemsomos/relatorios-anuais/2013/sustentabilidade_2013.pdf', 'http://engemausp.submissao.com.br/21/arquivos/46.pdf', 'https://www.celesc.com.br/arquivos/relatorios/relatorio-sustentabilidade-2019.pdf', 'https://apicatalog.mziq.com/filemanager/v2/d/fdc31e8d-cd08-47c5-8b5c-3f120d561d2b/feb53126-00b1-4deb-416f-912d8e2a8295?origin=2', 'http://www.b3.com.br/data/files/7A/51/9D/67/02121510FE0C840592D828A8/Relate-ou-Explique-Divulgacao-2015.pdf']"
